Unnamed: 0,Species,Owner,Country_of_Origin,Farm.Name,Altitude,Region,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,CoffeeScore,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
0,Arabica,metad plc,Ethiopia,metad plc,1950-2200,Guji,300,60 kg,2014,"April 4th, 2015",,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,Green,0,m,1950.0,2200.0,2075.0
1,Arabica,metad plc,Ethiopia,metad plc,1950-2200,Guji,300,60 kg,2014,"April 4th, 2015",Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,Green,1,m,1950.0,2200.0,2075.0
2,Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",1600 - 1800 m,,5,1,,"May 31st, 2010",Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0,0.0,,0,m,1600.0,1800.0,1700.0
3,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,1800-2200,oromia,320,60 kg,2014,"March 26th, 2015",,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,Green,2,m,1800.0,2200.0,2000.0
4,Arabica,metad plc,Ethiopia,metad plc,1950-2200,Guji,300,60 kg,2014,"April 4th, 2015",Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,Green,2,m,1950.0,2200.0,2075.0
5,Arabica,ji-ae ahn,Brazil,,,,100,30 kg,2013,"September 3rd, 2013",,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,Bluish-Green,1,m,,,
6,Arabica,hugo valdivia,Peru,,,,100,69 kg,2012,"September 17th, 2012",Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,Bluish-Green,0,m,,,
7,Arabica,ethiopia commodity exchange,Ethiopia,aolme,1570-1700,oromia,300,60 kg,March 2010,"September 2nd, 2010",,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,,0,m,1570.0,1700.0,1635.0
8,Arabica,ethiopia commodity exchange,Ethiopia,aolme,1570-1700,oromia,300,60 kg,March 2010,"September 2nd, 2010",,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,,0,m,1570.0,1700.0,1635.0
9,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,1795-1850,SNNPR,50,60 kg,2014,"March 30th, 2015",Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,Green,4,m,1795.0,1850.0,1822.5
10,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,1855-1955,oromia,300,60 kg,2014,"March 27th, 2015",,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,,1,m,1855.0,1955.0,1905.0
13,Arabica,grounds for health admin,United States (HI),arianna farms,2000 ft,kona,1,1,Sept 2009 - April 2010,"May 31st, 2010",,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,0,0.0,,2,ft,609.6,609.6,609.6
14,Arabica,ethiopia commodity exchange,Ethiopia,aolme,1570-1700,oromia,300,60 kg,March 2010,"August 31st, 2010",,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,,2,m,1570.0,1700.0,1635.0
16,Arabica,grounds for health admin,Indonesia,toarco jaya,1200-1800m,sulawesi,1,"2 kg,lbs",May-August,"May 31st, 2010",,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,,0,m,1200.0,1800.0,1500.0
18,Arabica,yunnan coffee exchange,China,echo coffee,1450,yunnan,3,60 kg,2015,"April 7th, 2016",Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,Green,0,m,1450.0,1450.0,1450.0
19,Arabica,essencecoffee,Ethiopia,drima zede,1700-2000m,SNNPR,250,60 kg,2014,"March 25th, 2015",Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,0,0.0,,8,m,1700.0,2000.0,1850.0
21,Arabica,the coffee source inc.,Costa Rica,several,1300 msnm,san ramon,250,3 lbs,2014,"April 2nd, 2014",Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,Green,2,m,1300.0,1300.0,1300.0
22,Arabica,roberto licona franco,Mexico,la herradura,1320,Veracruz,14,1 kg,2012,"July 26th, 2012",Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,Green,0,m,1320.0,1320.0,1320.0
24,Arabica,ji-ae ahn,Ethiopia,,,Sidama,100,60 kg,2013,"September 3rd, 2013",,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,Bluish-Green,1,m,,,
25,Arabica,nucoffee,Brazil,fazenda kaquend,1250m,Sul de Minas,3,60 kg,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,Green,2,m,1250.0,1250.0,1250.0
27,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,1950,kapchorwa,100,60 kg,2013,"June 26th, 2014",SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,Green,1,m,1950.0,1950.0,1950.0
28,Arabica,bismarck castro,Honduras,los hicaques,1400,comayagua,275,69 kg,2016,"May 18th, 2017",Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,Green,3,m,1400.0,1400.0,1400.0
29,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,1200,Chiayi,20,50 kg,2015,"May 18th, 2016",Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0.0,Green,0,m,1200.0,1200.0,1200.0
31,Arabica,specialty coffee-korea,Tanzania,,,,100,60 kg,2012,"September 3rd, 2013",,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,Bluish-Green,1,m,,,
32,Arabica,nucoffee,Brazil,fazenda recreio,1300,grama valley,29,60 kg,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,Green,2,m,1300.0,1300.0,1300.0
33,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,1300,west valley,250,2 lbs,2015/2016,"December 3rd, 2015",Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0.0,Blue-Green,0,m,1300.0,1300.0,1300.0
34,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,1750-1800,oromia,320,60 kg,2014,"March 27th, 2015",,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,Green,3,m,1750.0,1800.0,1775.0
35,Arabica,daniel magu,Kenya,kangunu,1800,muranga,320,1 kg,2013,"May 30th, 2014",SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,Blue-Green,1,m,1800.0,1800.0,1800.0
36,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,10,100 lbs,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,1,0.0,,4,ft,,,
40,Arabica,itdp international,Thailand,co-op #12,1300,chiang rai,53,1 kg,2012,"April 12th, 2012",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,Green,9,m,1300.0,1300.0,1300.0
41,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,1.2,Sul de Minas,300,60 kg,2010,"January 4th, 2011",Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0.0,,2,m,12.0,12.0,12.0
42,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,1.2,Sul de Minas,300,60 kg,2010,"January 4th, 2011",Yellow Bourbon,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0,0.0,,3,m,12.0,12.0,12.0
43,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,1000 m,nantou,10,15 kg,2015,"June 10th, 2015",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,Green,0,m,1000.0,1000.0,1000.0
44,Arabica,jungle estate,Kenya,jungle estate,1754,nyeri,12,60 kg,2014,"January 29th, 2015",SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Bluish-Green,2,m,1754.0,1754.0,1754.0
45,Arabica,nucoffee,Brazil,fazenda kaquend,1250m,Sul de Minas,7,60 kg,2011,"December 3rd, 2011",Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Blue-Green,2,m,1250.0,1250.0,1250.0
46,Arabica,great lakes coffee uganda,Uganda,kaasayi,,eastern,1,60 kg,2014,"October 1st, 2014",,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,0,0.0,,0,m,,,
47,Arabica,lusso lab,Colombia,ecobio colombia,900-1500m,tolima,1,2 kg,2013,"March 20th, 2014",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,Green,1,m,900.0,1500.0,1200.0
48,Arabica,lusso lab,Kenya,kianjavi,1520m-2200m,kiambu,1,1 kg,2013,"February 6th, 2014",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,Green,1,m,1520.0,2200.0,1860.0
49,Arabica,afca,Uganda,,1400-1900m,mt elgon,1,60 kg,2012,"February 13th, 2012",Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,Blue-Green,0,m,1400.0,1900.0,1650.0
50,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,1500-2000 m,Sidama,300,6,2009/2010,"June 17th, 2010",,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,0,0.0,,4,m,1500.0,2000.0,1750.0
51,Arabica,grounds for health admin,United States (HI),hula daddy kona coffee,1400ft,kona,1,2,Fall 2009,"May 31st, 2010",,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,0,0.0,,0,ft,426.72,426.72,426.72
52,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,,santa rosa,80,69 kg,2016,"May 16th, 2016",Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,Green,3,m,,,
53,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,1400-1900,eastern,1,60 kg,2013,"June 30th, 2014",SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,Green,0,m,1400.0,1900.0,1650.0
54,Arabica,exportadora de cafe condor s.a,Colombia,,1800 msnm,huila,275,70 kg,2013,"July 26th, 2013",Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0.0,Blue-Green,0,m,1800.0,1800.0,1800.0
55,Arabica,gonzalo hernandez,Panama,la berlina estate,1600,boquete,37,60 kg,2017,"October 9th, 2017",Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,Bluish-Green,0,m,1600.0,1600.0,1600.0
56,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,,1800-2000,oromia,320,60 kg,2014,"April 4th, 2015",,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,Green,4,m,1800.0,2000.0,1900.0
57,Arabica,juan luis alvarado romero,Guatemala,valparaiso,5000,acatenango,150,1 kg,2012,"July 3rd, 2012",Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,Green,3,ft,1524.0,1524.0,1524.0
58,Arabica,juan luis alvarado romero,Guatemala,finca el limon,4650,santa rosa,275,1 kg,2012,"June 5th, 2012",Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,Bluish-Green,1,ft,1417.32,1417.32,1417.32
59,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,,addis ababa,320,19200 kg,2017,"June 23rd, 2017",Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,None,7,m,,,
60,Arabica,dane loraas,Peru,,,cajamarca,280,5 lbs,2013,"January 22nd, 2014",,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,4,0.0,Green,6,m,,,
61,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,1700 mts,eastern highlands province,7,60 kg,2012,"October 25th, 2012",,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0.0,Bluish-Green,1,m,1700.0,1700.0,1700.0
62,Arabica,atlantic specialty coffee,El Salvador,el majahual,1500 meters,apaneca,275,2 kg,2013,"March 18th, 2013",Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,Blue-Green,3,m,1500.0,1500.0,1500.0
63,Arabica,lusso lab,El Salvador,finca la esmeralda,1300~1400 m.s.l,apaneca,19,1 kg,2012,"January 12th, 2013",Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,None,0,m,1300.0,1400.0,1350.0
64,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,8,100 lbs,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,0,0.0,,1,ft,,,
65,Arabica,essencecoffee,Panama,elida estate,1680,boquete,100,60 kg,2014,"May 23rd, 2015",Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,,2,m,1680.0,1680.0,1680.0
66,Arabica,essencecoffee,Kenya,inoi,1900m,kirinyaga,16,60 kg,2014,"May 23rd, 2015",SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,Green,3,m,1900.0,1900.0,1900.0
67,Arabica,assefa belay coffee producer,Ethiopia,,1800-2000,oromia,320,60 kg,2015,"March 31st, 2015",Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,Green,7,m,1800.0,2000.0,1900.0
68,Arabica,kyagalanyi ltd,Uganda,buginyanya,1600,eastern,320,60 kg,2013,"June 26th, 2014",SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0.0,Green,1,m,1600.0,1600.0,1600.0
69,Arabica,juan luis alvarado romero,Guatemala,asoperc,5600-5760 metros,huehuetenango,250,69 kg,2013,"February 26th, 2013",Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0.0,Green,1,ft,1706.88,1755.648,1731.264
70,Arabica,assefa belay coffee producer,Ethiopia,,1800-2000,oromia,320,60 kg,2015,"March 31st, 2015",,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0.0,Green,18,m,1800.0,2000.0,1900.0
71,Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,1950,kapchorwa,150,60 kg,2013,"June 26th, 2014",SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,0.0,Green,5,m,1950.0,1950.0,1950.0
72,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,8,100 lbs,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,4,0.0,,6,ft,,,
73,Arabica,nucoffee,Brazil,fazenda serra de três barras,1250m,Sul de Minas,5,60 kg,2011,"December 3rd, 2011",Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,Blue-Green,1,m,1250.0,1250.0,1250.0
74,Arabica,grounds for health admin,El Salvador,sierra nevada,1400 m,apaneca,2,"1 kg,lbs",2009 / 2010,"May 31st, 2010",,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,0,0.0,,0,m,1400.0,1400.0,1400.0
75,Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,1700,yunnan,3,60 kg,2015,"April 6th, 2016",Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,Green,0,m,1700.0,1700.0,1700.0
76,Arabica,essencecoffee,Guatemala,el injerto s.a.,1770,huehuetenango,36,30 kg,2014,"May 23rd, 2015",Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,Green,1,m,1770.0,1770.0,1770.0
77,Arabica,the coffee source inc.,Costa Rica,several,1300,west valley,250,3 lbs,2014,"May 1st, 2014",Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,0,0.0,Bluish-Green,0,m,1300.0,1300.0,1300.0
78,Arabica,the coffee source inc.,Costa Rica,several,1300 msnm,san ramon,250,3 lbs,2014,"May 1st, 2014",Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,Bluish-Green,2,m,1300.0,1300.0,1300.0
79,Arabica,rashid moledina & co. (msa) ltd.,Kenya,,above 1600 m,Central,20,60 kg,2012,"April 19th, 2013",SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,0,0.0,Green,2,m,1600.0,1600.0,1600.0
80,Arabica,ibero kenya limited,Kenya,,above 1200 m,Central,300,60 kg,2012,"March 12th, 2013",SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,0,0.0,Green,6,m,1200.0,1200.0,1200.0
84,Arabica,exportadora de cafe condor s.a,Colombia,various,1550 msnm,santander,275,70 kg,2015,"April 8th, 2015",Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,Green,0,m,1550.0,1550.0,1550.0
85,Arabica,compañia colombiana agroindustrial s.a,Colombia,,1550,santander,250,70 kg,2014,"January 17th, 2014",Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0.0,Green,2,m,1550.0,1550.0,1550.0
86,Arabica,"nomura trading co., ltd.",Indonesia,,1250-1400 meter,Sumatra,54,60 kg,2012,"November 26th, 2012",Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,Green,3,m,1250.0,1400.0,1325.0
87,Arabica,the coffee source inc.,Guatemala,coop. hoja blanca - fedecocagua,1400 msm,huehuetenango,250,1 kg,2012,"January 18th, 2012",Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,0,0.0,,7,m,1400.0,1400.0,1400.0
88,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,,Keffa Zone,320,19200 kg,2016,"August 9th, 2016",Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1.0,Green,8,m,,,
89,Arabica,carcafe ltda ci,Colombia,,2.560 msnm,pasto,250,70 kg,2015,"August 18th, 2015",Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,0,0.0,,0,m,2560.0,2560.0,2560.0
90,Arabica,steven kil,Ethiopia,aricha coop,1700,yirgacheffe,100,60 kg,2014,"October 7th, 2014",,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,2,0.0,Green,7,m,1700.0,1700.0,1700.0
91,Arabica,eileen koyanagi,United States (HI),,,kona,12,100 lbs,2014,"March 10th, 2014",Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,2,0.0,Bluish-Green,2,ft,,,
92,Arabica,carcafe ltda ci,Colombia,,2136 msnm,cundinamarca,250,70 kg,2012,"March 16th, 2012",Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,0,0.0,Green,8,m,2136.0,2136.0,2136.0
96,Arabica,kyagalanyi coffee ltd,Uganda,mount elgon area,1800,eastern,200,60 kg,2016,"July 24th, 2017",SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0.11,0,0.0,Green,1,m,1800.0,1800.0,1800.0
97,Arabica,racafe & cia s.c.a,Colombia,,,huila,135,70 kg,2016,"February 15th, 2017",Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,Green,3,m,,,
98,Arabica,troy quimby,Costa Rica,estate la patricia,1900,tarrazu,36,46 kg,2016,"January 30th, 2017",Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,1,1.0,Green,1,m,1900.0,1900.0,1900.0
99,Arabica,"el equimite, cafetal biodinámico",Mexico,various,1300,veracruz,1,30 kg,2015,"September 21st, 2016",Typica,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0.09,0,0.0,Green,3,m,1300.0,1300.0,1300.0
101,Arabica,rashid moledina & co. (msa) ltd.,Kenya,machure estate,1580,Central,38,60 kg,2012,"April 19th, 2013",SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,Green,5,m,1580.0,1580.0,1580.0
102,Arabica,nucoffee,Brazil,sitío são geraldo,1100m,grama valley,31,60 kg,2012,"February 29th, 2012",Mundo Novo,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,0.0,Green,3,m,1100.0,1100.0,1100.0
103,Arabica,young kim,Mexico,kassandra,1400 masl,mexico,1,1 kg,2010-2011,"April 6th, 2011",Pacamara,,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,,0,m,1400.0,1400.0,1400.0
105,Arabica,carl walker,Guatemala,la igualdad,3500-5200 feet,ocotepeque,275,69 kg,2009/2010,"September 7th, 2010",,,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0.04,0,0.0,,1,ft,1066.8,1584.96,1325.88
106,Arabica,racafe & cia s.c.a,Colombia,,,huila,243,70 kg,2016,"November 25th, 2016",Caturra,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92,0.0,1,6.0,,2,m,,,
107,Arabica,racafe & cia s.c.a,Colombia,,de 1600 a 1950 msnm,huila,252,70 kg,2015,"October 26th, 2015",Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,Green,1,m,1600.0,1950.0,1775.0
108,Arabica,"lin, che-hao krude 林哲豪",Taiwan,baishengcun coffee 百勝村咖啡莊園,800 m,nantou,20,40 kg,2015,"June 9th, 2015",Typica,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,Green,0,m,800.0,800.0,800.0
109,Arabica,taylor winch (t) ltd,Tanzania,hasambo amcos,1620m,mbeya,134,60 kg,2014,"December 12th, 2014",Other,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,Green,2,m,1620.0,1620.0,1620.0
110,Arabica,racafe & cia s.c.a,Colombia,,de 1600 a 1950 msnm,huila,50,70 kg,2012,"December 11th, 2012",Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,Green,3,m,1600.0,1950.0,1775.0
111,Arabica,artemio zapata tejeda,Mexico,el suspiro,1200,Veracruz,25,1 kg,2012,"July 11th, 2012",Typica,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,0,0.0,,0,m,1200.0,1200.0,1200.0
112,Arabica,nucoffee,Brazil,fazenda grota funda,1200m,Sul de Minas,4,60 kg,2011,"December 23rd, 2011",Bourbon,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0.0,Green,2,m,1200.0,1200.0,1200.0
