Unnamed: 0,Species,Owner,Country_of_Origin,Farm.Name,Altitude,Region,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,CoffeeScore,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Aroma_Bucket,Flavor_Bucket,Aftertaste_Bucket,Acidity_Bucket,Body_Bucket,Balance_Bucket,Uniformity_Bucket,Clean.Cup_Bucket,Sweetness_Bucket,Category.One.Defects_Bucket,Category.Two.Defects_Bucket,CoffeeScore_Bucket
21,Arabica,the coffee source inc.,Costa Rica,several,1300 msnm,san ramon,250,3 lbs,2014,"April 2nd, 2014",Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,Green,2,m,1300.0,1300.0,1300.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
22,Arabica,roberto licona franco,Mexico,la herradura,1320,Veracruz,14,1 kg,2012,"July 26th, 2012",Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,Green,0,m,1320.0,1320.0,1320.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
24,Arabica,ji-ae ahn,Ethiopia,,,Sidama,100,60 kg,2013,"September 3rd, 2013",,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,Bluish-Green,1,m,,,,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
25,Arabica,nucoffee,Brazil,fazenda kaquend,1250m,Sul de Minas,3,60 kg,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,Green,2,m,1250.0,1250.0,1250.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
27,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,1950,kapchorwa,100,60 kg,2013,"June 26th, 2014",SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,Green,1,m,1950.0,1950.0,1950.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
28,Arabica,bismarck castro,Honduras,los hicaques,1400,comayagua,275,69 kg,2016,"May 18th, 2017",Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,Green,3,m,1400.0,1400.0,1400.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
29,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,1200,Chiayi,20,50 kg,2015,"May 18th, 2016",Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0.0,Green,0,m,1200.0,1200.0,1200.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
31,Arabica,specialty coffee-korea,Tanzania,,,,100,60 kg,2012,"September 3rd, 2013",,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,Bluish-Green,1,m,,,,High,High,High,High,Average,High,Low,Low,Low,Low,Low,High
32,Arabica,nucoffee,Brazil,fazenda recreio,1300,grama valley,29,60 kg,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,Green,2,m,1300.0,1300.0,1300.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
33,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,1300,west valley,250,2 lbs,2015/2016,"December 3rd, 2015",Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0.0,Blue-Green,0,m,1300.0,1300.0,1300.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
34,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,1750-1800,oromia,320,60 kg,2014,"March 27th, 2015",,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,Green,3,m,1750.0,1800.0,1775.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
35,Arabica,daniel magu,Kenya,kangunu,1800,muranga,320,1 kg,2013,"May 30th, 2014",SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,Blue-Green,1,m,1800.0,1800.0,1800.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
36,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,10,100 lbs,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,1,0.0,,4,ft,,,,High,High,High,High,High,High,Low,Low,Low,High,Average,High
40,Arabica,itdp international,Thailand,co-op #12,1300,chiang rai,53,1 kg,2012,"April 12th, 2012",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,Green,9,m,1300.0,1300.0,1300.0,High,High,High,High,Average,High,Low,Low,Low,High,High,High
41,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,1.2,Sul de Minas,300,60 kg,2010,"January 4th, 2011",Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0.0,,2,m,12.0,12.0,12.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
42,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,1.2,Sul de Minas,300,60 kg,2010,"January 4th, 2011",Yellow Bourbon,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0,0.0,,3,m,12.0,12.0,12.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
43,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,1000 m,nantou,10,15 kg,2015,"June 10th, 2015",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,Green,0,m,1000.0,1000.0,1000.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
44,Arabica,jungle estate,Kenya,jungle estate,1754,nyeri,12,60 kg,2014,"January 29th, 2015",SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Bluish-Green,2,m,1754.0,1754.0,1754.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
45,Arabica,nucoffee,Brazil,fazenda kaquend,1250m,Sul de Minas,7,60 kg,2011,"December 3rd, 2011",Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Blue-Green,2,m,1250.0,1250.0,1250.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
46,Arabica,great lakes coffee uganda,Uganda,kaasayi,,eastern,1,60 kg,2014,"October 1st, 2014",,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,0,0.0,,0,m,,,,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
47,Arabica,lusso lab,Colombia,ecobio colombia,900-1500m,tolima,1,2 kg,2013,"March 20th, 2014",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,Green,1,m,900.0,1500.0,1200.0,High,High,High,High,High,High,Low,Low,Low,High,Low,High
48,Arabica,lusso lab,Kenya,kianjavi,1520m-2200m,kiambu,1,1 kg,2013,"February 6th, 2014",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,Green,1,m,1520.0,2200.0,1860.0,High,High,High,High,Average,High,Low,Low,Low,Low,Low,High
49,Arabica,afca,Uganda,,1400-1900m,mt elgon,1,60 kg,2012,"February 13th, 2012",Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,Blue-Green,0,m,1400.0,1900.0,1650.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
50,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,1500-2000 m,Sidama,300,6,2009/2010,"June 17th, 2010",,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,0,0.0,,4,m,1500.0,2000.0,1750.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
51,Arabica,grounds for health admin,United States (HI),hula daddy kona coffee,1400ft,kona,1,2,Fall 2009,"May 31st, 2010",,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,0,0.0,,0,ft,426.72,426.72,426.72,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
52,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,,santa rosa,80,69 kg,2016,"May 16th, 2016",Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,Green,3,m,,,,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
53,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,1400-1900,eastern,1,60 kg,2013,"June 30th, 2014",SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,Green,0,m,1400.0,1900.0,1650.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
54,Arabica,exportadora de cafe condor s.a,Colombia,,1800 msnm,huila,275,70 kg,2013,"July 26th, 2013",Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0.0,Blue-Green,0,m,1800.0,1800.0,1800.0,High,High,High,High,High,High,Low,Low,Low,High,Low,High
55,Arabica,gonzalo hernandez,Panama,la berlina estate,1600,boquete,37,60 kg,2017,"October 9th, 2017",Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,Bluish-Green,0,m,1600.0,1600.0,1600.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
56,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,,1800-2000,oromia,320,60 kg,2014,"April 4th, 2015",,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,Green,4,m,1800.0,2000.0,1900.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
57,Arabica,juan luis alvarado romero,Guatemala,valparaiso,5000,acatenango,150,1 kg,2012,"July 3rd, 2012",Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,Green,3,ft,1524.0,1524.0,1524.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
58,Arabica,juan luis alvarado romero,Guatemala,finca el limon,4650,santa rosa,275,1 kg,2012,"June 5th, 2012",Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,Bluish-Green,1,ft,1417.32,1417.32,1417.32,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
59,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,,addis ababa,320,19200 kg,2017,"June 23rd, 2017",Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,None,7,m,,,,High,High,High,High,High,High,Low,Low,Low,Low,High,High
60,Arabica,dane loraas,Peru,,,cajamarca,280,5 lbs,2013,"January 22nd, 2014",,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,4,0.0,Green,6,m,,,,High,High,High,High,High,High,Low,Low,Low,High,High,High
61,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,1700 mts,eastern highlands province,7,60 kg,2012,"October 25th, 2012",,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0.0,Bluish-Green,1,m,1700.0,1700.0,1700.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
62,Arabica,atlantic specialty coffee,El Salvador,el majahual,1500 meters,apaneca,275,2 kg,2013,"March 18th, 2013",Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,Blue-Green,3,m,1500.0,1500.0,1500.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
63,Arabica,lusso lab,El Salvador,finca la esmeralda,1300~1400 m.s.l,apaneca,19,1 kg,2012,"January 12th, 2013",Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,None,0,m,1300.0,1400.0,1350.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
64,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,8,100 lbs,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,0,0.0,,1,ft,,,,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
65,Arabica,essencecoffee,Panama,elida estate,1680,boquete,100,60 kg,2014,"May 23rd, 2015",Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,,2,m,1680.0,1680.0,1680.0,High,High,High,High,Average,High,Low,Low,Low,High,Average,High
66,Arabica,essencecoffee,Kenya,inoi,1900m,kirinyaga,16,60 kg,2014,"May 23rd, 2015",SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,Green,3,m,1900.0,1900.0,1900.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
67,Arabica,assefa belay coffee producer,Ethiopia,,1800-2000,oromia,320,60 kg,2015,"March 31st, 2015",Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,Green,7,m,1800.0,2000.0,1900.0,High,High,High,High,High,High,Low,Low,Low,Low,High,High
68,Arabica,kyagalanyi ltd,Uganda,buginyanya,1600,eastern,320,60 kg,2013,"June 26th, 2014",SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0.0,Green,1,m,1600.0,1600.0,1600.0,High,High,High,High,Average,High,Low,Low,Low,Low,Low,High
69,Arabica,juan luis alvarado romero,Guatemala,asoperc,5600-5760 metros,huehuetenango,250,69 kg,2013,"February 26th, 2013",Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0.0,Green,1,ft,1706.88,1755.648,1731.264,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
70,Arabica,assefa belay coffee producer,Ethiopia,,1800-2000,oromia,320,60 kg,2015,"March 31st, 2015",,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0.0,Green,18,m,1800.0,2000.0,1900.0,High,High,High,High,High,High,Low,Low,Low,Low,High,High
71,Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,1950,kapchorwa,150,60 kg,2013,"June 26th, 2014",SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,0.0,Green,5,m,1950.0,1950.0,1950.0,High,High,High,Average,High,High,Low,Low,Low,Low,High,High
72,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,8,100 lbs,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,4,0.0,,6,ft,,,,High,High,High,High,High,High,Low,Low,Low,High,High,High
73,Arabica,nucoffee,Brazil,fazenda serra de três barras,1250m,Sul de Minas,5,60 kg,2011,"December 3rd, 2011",Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,Blue-Green,1,m,1250.0,1250.0,1250.0,High,High,High,Average,High,High,Low,Low,Low,Low,Low,High
74,Arabica,grounds for health admin,El Salvador,sierra nevada,1400 m,apaneca,2,"1 kg,lbs",2009 / 2010,"May 31st, 2010",,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,0,0.0,,0,m,1400.0,1400.0,1400.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
75,Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,1700,yunnan,3,60 kg,2015,"April 6th, 2016",Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,Green,0,m,1700.0,1700.0,1700.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
76,Arabica,essencecoffee,Guatemala,el injerto s.a.,1770,huehuetenango,36,30 kg,2014,"May 23rd, 2015",Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,Green,1,m,1770.0,1770.0,1770.0,High,High,High,Average,High,High,Low,Low,Low,Low,Low,High
77,Arabica,the coffee source inc.,Costa Rica,several,1300,west valley,250,3 lbs,2014,"May 1st, 2014",Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,0,0.0,Bluish-Green,0,m,1300.0,1300.0,1300.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
78,Arabica,the coffee source inc.,Costa Rica,several,1300 msnm,san ramon,250,3 lbs,2014,"May 1st, 2014",Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,Bluish-Green,2,m,1300.0,1300.0,1300.0,High,Average,High,Average,High,High,Low,Low,Low,Low,Average,High
79,Arabica,rashid moledina & co. (msa) ltd.,Kenya,,above 1600 m,Central,20,60 kg,2012,"April 19th, 2013",SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,0,0.0,Green,2,m,1600.0,1600.0,1600.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
80,Arabica,ibero kenya limited,Kenya,,above 1200 m,Central,300,60 kg,2012,"March 12th, 2013",SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,0,0.0,Green,6,m,1200.0,1200.0,1200.0,High,High,High,High,High,High,Low,Low,Low,Low,High,High
84,Arabica,exportadora de cafe condor s.a,Colombia,various,1550 msnm,santander,275,70 kg,2015,"April 8th, 2015",Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,Green,0,m,1550.0,1550.0,1550.0,High,High,High,High,Average,High,Low,Low,Low,Low,Low,High
85,Arabica,compañia colombiana agroindustrial s.a,Colombia,,1550,santander,250,70 kg,2014,"January 17th, 2014",Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0.0,Green,2,m,1550.0,1550.0,1550.0,Average,High,High,High,High,High,Low,Low,Low,Low,Average,High
86,Arabica,"nomura trading co., ltd.",Indonesia,,1250-1400 meter,Sumatra,54,60 kg,2012,"November 26th, 2012",Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,Green,3,m,1250.0,1400.0,1325.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
87,Arabica,the coffee source inc.,Guatemala,coop. hoja blanca - fedecocagua,1400 msm,huehuetenango,250,1 kg,2012,"January 18th, 2012",Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,0,0.0,,7,m,1400.0,1400.0,1400.0,High,High,High,High,High,Average,Low,Low,Low,Low,High,High
88,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,,Keffa Zone,320,19200 kg,2016,"August 9th, 2016",Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1.0,Green,8,m,,,,High,High,High,High,High,High,Low,Low,Low,Low,High,High
89,Arabica,carcafe ltda ci,Colombia,,2.560 msnm,pasto,250,70 kg,2015,"August 18th, 2015",Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,0,0.0,,0,m,2560.0,2560.0,2560.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
